project,person,role
Making the History of 1989: Sources and Narratives of the Fall of Communism,Gale Stokes,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Tom Rushford,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Matthew P. Romaniello,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Jon Berndt Olsen,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,James Bjork,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Tom Ewing,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Cathleen Giustino,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Irina Livezeanu,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Brian Porter-Szucs,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Jennifer Dikes,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Laura Thompson,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Cynthia Szwajkowski,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Elizabeth Ten Dyke,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Hugh Agnew,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Melissa Bokovoy,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,David Doellinger,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Maura Hametz,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Kevin Deegan-Kraus,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Jill Massino,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Basia Nowak ,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Tricia Starks,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Jennifer Walton,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Alan Gevinson,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Deanna Wooley,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Joel Tannenbaum,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,National Czech and Slovak Museum & Library,Affiliates
Making the History of 1989: Sources and Narratives of the Fall of Communism,"University of Maryland-Baltimore County, Special Collections",Affiliates
Making the History of 1989: Sources and Narratives of the Fall of Communism,Wende Museum,Affiliates
The Object of History: Teaching American History Through Artifacts,Roy Rosenzweig,Director(s)
The Object of History: Teaching American History Through Artifacts,Eleanor Greene,Outreach
The Object of History: Teaching American History Through Artifacts,Barbara Clark Smith,Content Experts
The Object of History: Teaching American History Through Artifacts,James Gardner,Content Experts
The Object of History: Teaching American History Through Artifacts,David Kobrin,Content Experts
The Object of History: Teaching American History Through Artifacts,Elizabeth Butler,Content Experts
The Object of History: Teaching American History Through Artifacts,Judith Gradwohl,Affiliates
The Object of History: Teaching American History Through Artifacts,Matthew MacArthur,Affiliates
The Object of History: Teaching American History Through Artifacts,Benjamin Bloom,Affiliates
The Object of History: Teaching American History Through Artifacts,Patrick Coleman,Affiliates
"Gulag: Many Days, Many Lives",Roy Rosenzweig,Proposal Co-Authors
"Gulag: Many Days, Many Lives",Tom Scheinfeldt,Proposal Co-Authors
"Gulag: Many Days, Many Lives",Roy Rosenzweig,Director(s)
"Gulag: Many Days, Many Lives",Tom Scheinfeldt,Director(s)
"Gulag: Many Days, Many Lives",Steve Barnes,Director(s)
"Gulag: Many Days, Many Lives",Stephanie Hurter,Web Designer(s)
"Gulag: Many Days, Many Lives",Jeremy Boggs,Web Designer(s)
"Gulag: Many Days, Many Lives",Laura Veprek,Web Designer(s)
"Gulag: Many Days, Many Lives",Amanda Shuman,Programmers
"Gulag: Many Days, Many Lives",Kristopher Kelly,Programmers
"Gulag: Many Days, Many Lives",Gwen White,Staff Members
"Gulag: Many Days, Many Lives",Nastya Mikheeva,Staff Members
"Gulag: Many Days, Many Lives",Elena Razlogova,Staff Members
"Gulag: Many Days, Many Lives",Misha Vinokur,Staff Members
"Gulag: Many Days, Many Lives",Misha Griffith,Staff Members
"Gulag: Many Days, Many Lives",Alexis Hurter,Staff Members
"Gulag: Many Days, Many Lives",Lee Ann Ghajar,Staff Members
"Gulag: Many Days, Many Lives",Mjiriana Visintin,Staff Members
"Gulag: Many Days, Many Lives",Andrew Graulich,Staff Members
"Gulag: Many Days, Many Lives",Steve Barnes,Outreach
"Gulag: Many Days, Many Lives",Elena Razlogova,Outreach
"Gulag: Many Days, Many Lives",Anne Applebaum,Content Experts
"Gulag: Many Days, Many Lives",Lynne Viola,Content Experts
"Gulag: Many Days, Many Lives",Amir Weiner,Content Experts
"Gulag: Many Days, Many Lives",Viktor Shmyrov,Content Experts
"Gulag: Many Days, Many Lives",Peter Holquist,Content Experts
"Gulag: Many Days, Many Lives",Stephen Kotkin,Content Experts
"Gulag: Many Days, Many Lives",Joshua Brown,Content Experts
"Gulag: Many Days, Many Lives",National Park Service,Affiliates
Global Childhood: Children and Youth in History,Kelly Schrum,Proposal Co-Authors
Global Childhood: Children and Youth in History,Miriam Forman-Brunell,Proposal Co-Authors
Global Childhood: Children and Youth in History,Kelly Schrum,Director(s)
Global Childhood: Children and Youth in History,Miriam Forman-Brunell,Director(s)
Global Childhood: Children and Youth in History,Chris Raymond,Web Designer(s)
Global Childhood: Children and Youth in History,Jeremy Boggs,Programmers
Global Childhood: Children and Youth in History,Amanda Shuman,Staff Members
Global Childhood: Children and Youth in History,Mary A. McMurray,Staff Members
Global Childhood: Children and Youth in History,Susan Douglass,Staff Members
Global Childhood: Children and Youth in History,Kelly Schrum,Outreach
Global Childhood: Children and Youth in History,Miriam Forman-Brunell,Outreach
Global Childhood: Children and Youth in History,Peter Stearns,Content Experts
Global Childhood: Children and Youth in History,Paula Fass,Content Experts
Global Childhood: Children and Youth in History,Paula Petrik,Content Experts
Global Childhood: Children and Youth in History,Merry Wiesner Hanks,Content Experts
Global Childhood: Children and Youth in History,Heidi Roupp,Content Experts
Global Childhood: Children and Youth in History,Steven Mintz,Content Experts
Global Childhood: Children and Youth in History,Claudia Mitchell,Content Experts
Global Childhood: Children and Youth in History,Colin Heywood,Content Experts
Global Childhood: Children and Youth in History,Sharon Cohen,Content Experts
Global Childhood: Children and Youth in History,Ryba Epstein,Content Experts
Global Childhood: Children and Youth in History,Nancy Stockdale,Content Experts
Global Childhood: Children and Youth in History,Ilana Nash,Content Experts
Global Childhood: Children and Youth in History,Nora E. Jaffary,Content Experts
Global Childhood: Children and Youth in History,Janelle Collett,Content Experts
Global Childhood: Children and Youth in History,Elizabeth Ten Dyke,Content Experts
Global Childhood: Children and Youth in History,Christopher Corley,Content Experts
Global Childhood: Children and Youth in History,James Marten,Content Experts
Global Childhood: Children and Youth in History,Sue Fernsebner,Content Experts
Global Childhood: Children and Youth in History,Jessica Hodgson,Content Experts
Global Childhood: Children and Youth in History,Nora E. Jaffary,Content Experts
Global Childhood: Children and Youth in History,Ilana Nash,Content Experts
Global Childhood: Children and Youth in History,Nancy Stockdale,Content Experts
Global Childhood: Children and Youth in History,Joe Austin,Content Experts
Global Childhood: Children and Youth in History,Jane Eva Baxter,Content Experts
Global Childhood: Children and Youth in History,David Bill,Content Experts
Global Childhood: Children and Youth in History,Rebecca Friedman,Content Experts
Global Childhood: Children and Youth in History,James Gillham,Content Experts
Global Childhood: Children and Youth in History,Donald Haase,Content Experts
Global Childhood: Children and Youth in History,Kriste Lindenmeyer,Content Experts
Global Childhood: Children and Youth in History,Dana Leibsohn,Content Experts
Global Childhood: Children and Youth in History,Joanna Michlic,Content Experts
Global Childhood: Children and Youth in History,Lizbeth Halliday Piel,Content Experts
Global Childhood: Children and Youth in History,Beryl Rawson ,Content Experts
Global Childhood: Children and Youth in History,Kerry Roeder ,Content Experts
Global Childhood: Children and Youth in History,Tom Rushford,Content Experts
Global Childhood: Children and Youth in History,Phil Safford,Content Experts
Global Childhood: Children and Youth in History,Richard Waller,Content Experts
Global Childhood: Children and Youth in History,Tom Ewing,Content Experts
Global Childhood: Children and Youth in History,Jeanine Graham,Content Experts
Global Childhood: Children and Youth in History,Jesse Hingson,Content Experts
Global Childhood: Children and Youth in History,Anne Kinney,Content Experts
Global Childhood: Children and Youth in History,Heidi Morrison,Content Experts
Global Childhood: Children and Youth in History,Tim Parsons,Content Experts
Global Childhood: Children and Youth in History,Lynda Payne,Content Experts
Global Childhood: Children and Youth in History,Brian Platt,Content Experts
Global Childhood: Children and Youth in History,Stephen Robertson,Content Experts
Global Childhood: Children and Youth in History,Colleen Vasconcellos,Content Experts
Global Childhood: Children and Youth in History,Shona Kelly Wray,Content Experts
Global Childhood: Children and Youth in History,Cynthia Szwajkowski,Content Experts
World History Sources,Roy Rosenzweig,Proposal Co-Authors
World History Sources,T. Mills Kelly,Director(s)
World History Sources,Kelly Schrum,Director(s)
World History Sources,Paula Petrik,Web Designer(s)
World History Sources,Stephanie Hurter,Web Designer(s)
World History Sources,Elena Razlogova,Programmers
World History Sources,Amanda Shuman,Programmers
World History Sources,Kristin Lehner,Staff Members
World History Sources,Jessica May,Staff Members
World History Sources,Katharina Hering,Staff Members
World History Sources,Rustin Crandall,Staff Members
World History Sources,Peter Stearns,Content Experts
World History Sources,Ben Carton,Content Experts
World History Sources,John Voll,Content Experts
World History Sources,Brian Platt,Content Experts
World History Sources,Matthew Karush,Content Experts
World History Sources,Joan Bristol,Content Experts
World History Sources,Sumaiya Hamdani,Content Experts
World History Sources,Robert DeCaroli,Content Experts
World History Sources,Bob Bain,Content Experts
World History Sources,Randy Bass,Content Experts
World History Sources,Barbara Bindenbosch,Content Experts
World History Sources,Ross Dunn,Content Experts
World History Sources,Karen Hurt,Content Experts
World History Sources,Pat Manning,Content Experts
World History Sources,Heidi Roupp,Content Experts
World History Sources,Pennee Bender,Content Experts
World History Sources,Joshua Brown,Content Experts
World History Sources,David Pace,Content Experts
World History Sources,Deborah Vess,Content Experts
World History Sources,Akira Iriye,Affiliates
World History Sources,Jerry Bentley,Affiliates
World History Sources,Irene Bierman,Affiliates
World History Sources,Joni Seager,Affiliates
World History Sources,William Weber,Affiliates
World History Sources,Anne Walthall,Affiliates
World History Sources,Daniel Waugh,Affiliates
World History Sources,Herbert S. Klein,Affiliates
History Matters: The U.S. Survey Course on the Web,Roy Rosenzweig,Proposal Co-Authors
History Matters: The U.S. Survey Course on the Web,Joshua Brown,Proposal Co-Authors
History Matters: The U.S. Survey Course on the Web,Pennee Bender,Proposal Co-Authors
History Matters: The U.S. Survey Course on the Web,Roy Rosenzweig,Director(s)
History Matters: The U.S. Survey Course on the Web,Joshua Brown,Director(s)
History Matters: The U.S. Survey Course on the Web,Pennee Bender,Director(s)
History Matters: The U.S. Survey Course on the Web,Kelly Schrum,Director(s)
History Matters: The U.S. Survey Course on the Web,Ellen Noonan,Director(s)
History Matters: The U.S. Survey Course on the Web,Stephen Brier,Director(s)
History Matters: The U.S. Survey Course on the Web,Andrea Ades Vasquez,Web Designer(s)
History Matters: The U.S. Survey Course on the Web,Dan Cohen,Programmers
History Matters: The U.S. Survey Course on the Web,Simon Kornblith,Programmers
History Matters: The U.S. Survey Course on the Web,Andre Pitanga,Programmers
History Matters: The U.S. Survey Course on the Web,Elena Razlogova,Programmers
History Matters: The U.S. Survey Course on the Web,Rustin Crandall,Staff Members
History Matters: The U.S. Survey Course on the Web,Joseph Duis,Staff Members
History Matters: The U.S. Survey Course on the Web,Juliet Gorman,Staff Members
History Matters: The U.S. Survey Course on the Web,Katharina Hering,Staff Members
History Matters: The U.S. Survey Course on the Web,Dan Maxwell,Staff Members
History Matters: The U.S. Survey Course on the Web,Julie Miller,Staff Members
History Matters: The U.S. Survey Course on the Web,Peter Strong,Staff Members
History Matters: The U.S. Survey Course on the Web,Donna Yee,Staff Members
History Matters: The U.S. Survey Course on the Web,Ann Bazzarone,Staff Members
History Matters: The U.S. Survey Course on the Web,Cathie Boivin,Staff Members
History Matters: The U.S. Survey Course on the Web,Adam Dinwiddie,Staff Members
History Matters: The U.S. Survey Course on the Web,Jessica Finnefrock,Staff Members
History Matters: The U.S. Survey Course on the Web,Michael Laine,Staff Members
History Matters: The U.S. Survey Course on the Web,Monica Ortiz,Staff Members
History Matters: The U.S. Survey Course on the Web,Gregg Parrish,Staff Members
History Matters: The U.S. Survey Course on the Web,Wei Su,Staff Members
History Matters: The U.S. Survey Course on the Web,Christian Turek,Staff Members
History Matters: The U.S. Survey Course on the Web,TuVinh Vuong,Staff Members
History Matters: The U.S. Survey Course on the Web,David Jaffee,Content Experts
History Matters: The U.S. Survey Course on the Web,Ann Fabian,Content Experts
History Matters: The U.S. Survey Course on the Web,Nancy Hewitt,Content Experts
History Matters: The U.S. Survey Course on the Web,Gary Kornblith,Content Experts
History Matters: The U.S. Survey Course on the Web,John McClymer,Content Experts
History Matters: The U.S. Survey Course on the Web,Neil Salisbury,Content Experts
History Matters: The U.S. Survey Course on the Web,Carl Schulkin,Content Experts
History Matters: The U.S. Survey Course on the Web,Tom Thurston,Content Experts
